wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
194.37,134.761933333,116.6668,121.190466667,109.2858,95.0792666667,128.730133333,140.238133334,105.595266667,126.904733333
194.75,136.554266667,116.779066667,127.0412,116.03,99.2509333333,131.0112,141.797866667,107.565533333,129.138533333
195.13,122.482333333,106.099266667,116.595666667,105.602866667,89.5034666665,120.7092,129.3618,95.4609333335,121.418533333
195.51,122.177,106.8708,114.4218,105.5102,86.0544666666,121.2244,128.0952,93.4693666667,120.952333333
195.89,104.2166,88.3762,94.7008666666,92.8205333333,71.7379333333,100.854533333,106.552733333,76.2678666667,100.968666667
196.27,101.967133333,85.3550666667,90.3826,93.0600666666,68.7978,97.7049333333,104.0436,74.3990333333,98.3059333333
196.65,89.1542,75.7711333333,82.2388666667,83.7313333333,61.5920666667,84.9255333334,90.8955333333,65.9701,89.4031333334
197.03,86.9564666667,74.6086666667,78.2608666667,80.6956666667,52.9855333333,83.1303999999,87.8840666667,62.8116,91.0144666667
197.40,91.3638000001,75.0758666667,83.3334000001,83.7120666667,46.0605333333,85.3788,90.6817333332,61.0984,95.2272666666
197.78,81.8123333333,67.5728,75.8575333333,75.6633333333,44.4013333333,74.5632,79.9353333334,57.2490666667,79.8057999999
198.16,80.6601333334,64.0923333333,73.3992000001,77.2938,43.7624,73.0693333333,78.3497333333,63.4323333333,75.2476000001
198.54,75.4422,63.3334666667,68.2314666667,71.0205333333,42.3129333333,69.6598666666,71.2924,66.5305666667,68.9796666665
198.92,64.9425333333,59.1381333333,56.9539333333,61.5518,36.5516666667,62.069,63.7931333333,59.9713,60.0573333334
199.30,62.4148,59.4750666667,51.4436,55.538,35.6955333333,60.3675333333,59.6851333333,59.7113,57.2179333333
199.68,54.6540666666,54.4654,41.6980666667,45.9748666667,29.8741333333,53.2075333333,51.2578666667,54.8112333333,49.1195333333
200.06,59.9999333334,66.1726666666,44.5267333333,41.6462,31.0287333333,56.7903333333,57.1193333334,62.8806999999,53.6624666667
200.44,61.0957999999,70.8675333333,47.58,35.525,31.6895333333,55.2512,59.2695333333,65.2512000001,53.5159333334
200.82,59.0717333334,68.0168666667,43.2910666667,30.6328,33.249,55.3587333333,58.0591333333,60.5063,49.7889333333
201.19,69.0535333334,78.7654666667,57.1192666667,44.9382666667,50.782,70.782,71.6872666667,70.2469000001,57.1194666667
201.57,78.4784666667,86.3043333335,65.2173333333,55.3622666667,61.8842,78.8406000001,86.2319333333,78.3333333334,67.8986
201.95,73.1227333333,80.0702666667,53.8245333333,50.5966,53.1928666667,74.0350666667,82.8071333333,69.2980999999,59.5789333333
202.33,70.2040666666,77.2110666667,48.2313333333,44.2176,50.1359333333,66.5307333333,78.1632666667,59.7958333333,57.8232
202.71,68.5714666666,68.6446,44.9084,35.8974,42.6373333333,62.1978,76.9232000001,48.3882666667,47.1062000001
203.09,78.9584000001,78.6457999999,50.4166,34.1667333333,39.1666666667,64.4792666667,91.0417333334,49.5313,47.3958
203.47,98.0741999999,96.4444666665,65.1850666666,36.2963333334,41.6297333333,75.4073333335,123.555466667,55.7777999999,58.0741333333
203.85,95.5999999998,90.1333333333,63.7333333333,37.6,42.0,71.1999999999,119.733333333,55.4,53.1999999999
204.22,85.4813333335,77.3332666665,56.1481333334,25.4815999999,24.7406666667,66.2223333333,117.333266667,47.7778,42.9629333335
